#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-04-03T20:01:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ac3dc3b1b7c5	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+AS/130/65&tab:{J/A+AS/130/65/lcb98cor}&key:source=J/A+AS/130/65/lcb98cor&HTTPPRM:&
#-source=J/A+AS/130/65/lcb98cor
#-order=I
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=U-B
#-out=B-V
#-out=V-R
#-out=V-I
#-out=V-K
#-out=R-I
#-out=J-H
#-out=J-K
#-out=J-L
#

#RESOURCE=yCat_41300065
#Name: J/A+AS/130/65
#Title: A standard stellar library. II. (Lejeune+ 1998)
#Table	J_A_AS_130_65_lcb98cor:
#Name: J/A+AS/130/65/lcb98cor
#Title: All files lcb98*.cor: Synthetic colors from corrected Stellar Energy Distributions (SEDS)
#Column	Teff	(F6)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F6.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F4.1)	Metallicity	[ucd=phys.abund.Fe]
#Column	U-B	(F7.3)	(U-B) colour (energy-weighted)	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F7.3)	(B-V) colour (energy-weighted)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-R	(F7.3)	(V-R) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-I	(F7.3)	(V-I) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	V-K	(F7.3)	(V-K) colour (energy-weighted)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	R-I	(F7.3)	(R-I) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	J-H	(F7.3)	(J-H) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.H]
#Column	J-K	(F7.3)	(J-K) colour (energy-weighted)	[ucd=phot.color;em.IR.J;em.IR.K]
#Column	J-L	(F7.3)	(J-L) colour (energy-weighted)	[ucd=phot.color;em.opt.R;em.opt.I]
Teff;logg;[Fe/H];U-B;B-V;V-R;V-I;V-K;R-I;J-H;J-K;J-L
 13000;  4.00;-3.5; -0.379; -0.111; -0.052; -0.102; -0.310; -0.051; -0.039; -0.072; -0.095
 13000;  4.50;-3.5; -0.355; -0.097; -0.054; -0.105; -0.316; -0.051; -0.041; -0.073; -0.097
 13000;  5.00;-3.5; -0.339; -0.079; -0.056; -0.106; -0.322; -0.050; -0.042; -0.073; -0.098
 14000;  2.00;-3.5; -0.644; -0.114; -0.034; -0.075; -0.330; -0.042; -0.033; -0.078; -0.100
 14000;  2.50;-3.5; -0.564; -0.135; -0.047; -0.100; -0.352; -0.053; -0.038; -0.083; -0.108
 14000;  3.00;-3.5; -0.514; -0.140; -0.053; -0.111; -0.360; -0.058; -0.042; -0.085; -0.111
 14000;  3.50;-3.5; -0.477; -0.137; -0.057; -0.117; -0.365; -0.060; -0.044; -0.086; -0.113
 14000;  4.00;-3.5; -0.450; -0.128; -0.060; -0.121; -0.370; -0.061; -0.047; -0.087; -0.115
 14000;  4.50;-3.5; -0.429; -0.116; -0.062; -0.123; -0.375; -0.061; -0.049; -0.087; -0.116
 14000;  5.00;-3.5; -0.414; -0.099; -0.064; -0.124; -0.381; -0.061; -0.050; -0.088; -0.118
 15000;  2.50;-3.5; -0.627; -0.148; -0.054; -0.117; -0.407; -0.062; -0.046; -0.097; -0.127
 15000;  3.00;-3.5; -0.575; -0.154; -0.061; -0.128; -0.415; -0.067; -0.049; -0.098; -0.130
 15000;  3.50;-3.5; -0.539; -0.152; -0.065; -0.134; -0.419; -0.069; -0.051; -0.099; -0.131
 15000;  4.00;-3.5; -0.512; -0.144; -0.067; -0.137; -0.423; -0.070; -0.054; -0.099; -0.133
 15000;  4.50;-3.5; -0.492; -0.132; -0.069; -0.139; -0.428; -0.071; -0.055; -0.100; -0.134
 15000;  5.00;-3.5; -0.479; -0.117; -0.071; -0.141; -0.433; -0.070; -0.056; -0.100; -0.135
 16000;  2.50;-3.5; -0.685; -0.160; -0.061; -0.132; -0.457; -0.071; -0.053; -0.109; -0.145
 16000;  3.00;-3.5; -0.631; -0.167; -0.068; -0.144; -0.465; -0.076; -0.056; -0.110; -0.147
 16000;  3.50;-3.5; -0.594; -0.164; -0.072; -0.150; -0.469; -0.078; -0.058; -0.111; -0.148
 16000;  4.00;-3.5; -0.568; -0.158; -0.074; -0.153; -0.472; -0.079; -0.060; -0.111; -0.149
 16000;  4.50;-3.5; -0.549; -0.147; -0.075; -0.155; -0.476; -0.079; -0.062; -0.111; -0.150
 16000;  5.00;-3.5; -0.537; -0.132; -0.077; -0.156; -0.481; -0.079; -0.062; -0.112; -0.152
 17000;  2.50;-3.5; -0.739; -0.170; -0.066; -0.144; -0.501; -0.078; -0.059; -0.120; -0.162
 17000;  3.00;-3.5; -0.682; -0.178; -0.074; -0.158; -0.510; -0.084; -0.062; -0.122; -0.163
 17000;  3.50;-3.5; -0.644; -0.177; -0.077; -0.163; -0.514; -0.086; -0.064; -0.122; -0.164
 17000;  4.00;-3.5; -0.618; -0.171; -0.080; -0.167; -0.516; -0.087; -0.066; -0.122; -0.165
 17000;  4.50;-3.5; -0.600; -0.161; -0.082; -0.168; -0.520; -0.087; -0.067; -0.122; -0.165
 17000;  5.00;-3.5; -0.589; -0.147; -0.083; -0.170; -0.524; -0.086; -0.068; -0.122; -0.167
 18000;  2.50;-3.5; -0.790; -0.179; -0.071; -0.155; -0.540; -0.084; -0.065; -0.130; -0.176
 18000;  3.00;-3.5; -0.729; -0.189; -0.079; -0.170; -0.551; -0.091; -0.068; -0.132; -0.178
 18000;  3.50;-3.5; -0.691; -0.188; -0.083; -0.176; -0.555; -0.093; -0.070; -0.132; -0.179
 18000;  4.00;-3.5; -0.664; -0.182; -0.085; -0.179; -0.557; -0.094; -0.071; -0.132; -0.179
 18000;  4.50;-3.5; -0.646; -0.173; -0.087; -0.181; -0.560; -0.094; -0.072; -0.132; -0.180
 18000;  5.00;-3.5; -0.636; -0.160; -0.089; -0.182; -0.564; -0.094; -0.073; -0.132; -0.181
 19000;  2.50;-3.5; -0.835; -0.188; -0.075; -0.166; -0.576; -0.091; -0.070; -0.139; -0.189
 19000;  3.00;-3.5; -0.772; -0.199; -0.084; -0.181; -0.588; -0.097; -0.073; -0.141; -0.192
 19000;  3.50;-3.5; -0.734; -0.199; -0.087; -0.187; -0.592; -0.100; -0.074; -0.141; -0.192
 19000;  4.00;-3.5; -0.707; -0.193; -0.090; -0.191; -0.594; -0.100; -0.076; -0.141; -0.193
 19000;  4.50;-3.5; -0.689; -0.185; -0.092; -0.193; -0.597; -0.101; -0.077; -0.141; -0.193
 19000;  5.00;-3.5; -0.679; -0.172; -0.094; -0.194; -0.600; -0.100; -0.077; -0.141; -0.194
 20000;  3.00;-3.5; -0.811; -0.208; -0.088; -0.191; -0.622; -0.103; -0.077; -0.150; -0.205
 20000;  3.50;-3.5; -0.773; -0.208; -0.093; -0.198; -0.626; -0.105; -0.079; -0.150; -0.205
 20000;  4.00;-3.5; -0.747; -0.203; -0.095; -0.201; -0.628; -0.106; -0.080; -0.150; -0.205
 20000;  4.50;-3.5; -0.729; -0.195; -0.097; -0.203; -0.631; -0.106; -0.081; -0.150; -0.206
 20000;  5.00;-3.5; -0.718; -0.184; -0.098; -0.204; -0.634; -0.106; -0.082; -0.150; -0.207
 21000;  3.00;-3.5; -0.846; -0.217; -0.093; -0.202; -0.655; -0.109; -0.082; -0.158; -0.217
 21000;  3.50;-3.5; -0.808; -0.218; -0.097; -0.208; -0.657; -0.111; -0.083; -0.158; -0.217
 21000;  4.00;-3.5; -0.783; -0.213; -0.099; -0.211; -0.659; -0.111; -0.084; -0.158; -0.217
 21000;  4.50;-3.5; -0.766; -0.205; -0.101; -0.213; -0.662; -0.112; -0.085; -0.158; -0.218
 21000;  5.00;-3.5; -0.755; -0.194; -0.103; -0.214; -0.666; -0.112; -0.086; -0.158; -0.219
 22000;  3.00;-3.5; -0.878; -0.226; -0.098; -0.212; -0.687; -0.114; -0.086; -0.166; -0.230
 22000;  3.50;-3.5; -0.839; -0.227; -0.101; -0.217; -0.688; -0.116; -0.087; -0.166; -0.229
 22000;  4.00;-3.5; -0.815; -0.222; -0.103; -0.220; -0.689; -0.117; -0.088; -0.165; -0.229
 22000;  4.50;-3.5; -0.799; -0.215; -0.105; -0.222; -0.691; -0.117; -0.089; -0.165; -0.229
 22000;  5.00;-3.5; -0.789; -0.204; -0.106; -0.223; -0.695; -0.117; -0.089; -0.166; -0.230
 23000;  3.00;-3.5; -0.908; -0.234; -0.102; -0.222; -0.718; -0.120; -0.091; -0.175; -0.244
 23000;  3.50;-3.5; -0.868; -0.235; -0.105; -0.227; -0.718; -0.122; -0.091; -0.174; -0.242
 23000;  4.00;-3.5; -0.844; -0.231; -0.107; -0.229; -0.717; -0.122; -0.092; -0.173; -0.241
 23000;  4.50;-3.5; -0.829; -0.224; -0.109; -0.230; -0.719; -0.121; -0.093; -0.173; -0.241
 23000;  5.00;-3.5; -0.820; -0.214; -0.111; -0.232; -0.722; -0.122; -0.093; -0.173; -0.242
 24000;  3.00;-3.5; -0.937; -0.242; -0.106; -0.232; -0.750; -0.126; -0.096; -0.184; -0.258
 24000;  3.50;-3.5; -0.894; -0.244; -0.110; -0.237; -0.747; -0.127; -0.096; -0.182; -0.254
 24000;  4.00;-3.5; -0.871; -0.239; -0.111; -0.238; -0.746; -0.127; -0.096; -0.180; -0.253
 24000;  4.50;-3.5; -0.856; -0.232; -0.113; -0.239; -0.746; -0.127; -0.096; -0.180; -0.252
 24000;  5.00;-3.5; -0.847; -0.223; -0.114; -0.240; -0.749; -0.126; -0.096; -0.180; -0.253
 25000;  3.00;-3.5; -0.969; -0.249; -0.110; -0.241; -0.783; -0.131; -0.101; -0.194; -0.274
 25000;  3.50;-3.5; -0.920; -0.252; -0.114; -0.246; -0.776; -0.132; -0.100; -0.190; -0.268
 25000;  4.00;-3.5; -0.895; -0.247; -0.115; -0.247; -0.773; -0.132; -0.100; -0.188; -0.265
 25000;  4.50;-3.5; -0.880; -0.241; -0.117; -0.248; -0.773; -0.131; -0.100; -0.187; -0.264
 25000;  5.00;-3.5; -0.873; -0.232; -0.118; -0.249; -0.775; -0.131; -0.100; -0.187; -0.264
 26000;  3.00;-3.5; -1.006; -0.252; -0.112; -0.246; -0.810; -0.134; -0.106; -0.203; -0.288
 26000;  3.50;-3.5; -0.945; -0.259; -0.118; -0.255; -0.805; -0.137; -0.105; -0.198; -0.281
 26000;  4.00;-3.5; -0.918; -0.255; -0.119; -0.256; -0.801; -0.137; -0.104; -0.196; -0.277
 26000;  4.50;-3.5; -0.904; -0.249; -0.120; -0.257; -0.799; -0.136; -0.104; -0.195; -0.276
 26000;  5.00;-3.5; -0.896; -0.240; -0.121; -0.257; -0.801; -0.136; -0.104; -0.195; -0.276
 27000;  3.50;-3.5; -0.971; -0.266; -0.121; -0.264; -0.834; -0.142; -0.109; -0.207; -0.293
 27000;  4.00;-3.5; -0.941; -0.263; -0.123; -0.265; -0.827; -0.142; -0.108; -0.204; -0.289
 27000;  4.50;-3.5; -0.926; -0.256; -0.124; -0.265; -0.825; -0.141; -0.108; -0.202; -0.287
 27000;  5.00;-3.5; -0.918; -0.248; -0.125; -0.265; -0.826; -0.140; -0.107; -0.202; -0.287
 28000;  3.50;-3.5; -0.998; -0.272; -0.124; -0.270; -0.858; -0.146; -0.113; -0.214; -0.303
 28000;  4.00;-3.5; -0.964; -0.270; -0.126; -0.273; -0.853; -0.146; -0.112; -0.211; -0.300
 28000;  4.50;-3.5; -0.947; -0.264; -0.127; -0.273; -0.850; -0.145; -0.111; -0.209; -0.298
 28000;  5.00;-3.5; -0.939; -0.256; -0.128; -0.273; -0.850; -0.145; -0.111; -0.209; -0.297
 29000;  3.50;-3.5; -1.027; -0.276; -0.125; -0.273; -0.875; -0.148; -0.115; -0.219; -0.309
 29000;  4.00;-3.5; -0.988; -0.277; -0.129; -0.280; -0.877; -0.150; -0.115; -0.218; -0.309
 29000;  4.50;-3.5; -0.969; -0.271; -0.131; -0.280; -0.874; -0.150; -0.115; -0.216; -0.307
 29000;  5.00;-3.5; -0.960; -0.263; -0.131; -0.280; -0.873; -0.149; -0.114; -0.215; -0.307
 30000;  3.50;-3.5; -1.053; -0.278; -0.125; -0.274; -0.884; -0.148; -0.116; -0.220; -0.309
 30000;  4.00;-3.5; -1.012; -0.283; -0.132; -0.285; -0.896; -0.153; -0.118; -0.223; -0.315
 30000;  4.50;-3.5; -0.991; -0.278; -0.133; -0.287; -0.895; -0.154; -0.118; -0.222; -0.315
 30000;  5.00;-3.5; -0.981; -0.270; -0.134; -0.287; -0.895; -0.153; -0.117; -0.221; -0.315
 31000;  3.50;-3.5; -1.075; -0.279; -0.125; -0.273; -0.889; -0.148; -0.116; -0.221; -0.309
 31000;  4.00;-3.5; -1.035; -0.287; -0.133; -0.289; -0.911; -0.156; -0.120; -0.226; -0.318
 31000;  4.50;-3.5; -1.012; -0.284; -0.136; -0.293; -0.914; -0.157; -0.120; -0.227; -0.320
 31000;  5.00;-3.5; -1.002; -0.277; -0.137; -0.293; -0.914; -0.156; -0.120; -0.226; -0.320
 32000;  4.00;-3.5; -1.056; -0.291; -0.135; -0.292; -0.922; -0.157; -0.120; -0.228; -0.320
 32000;  4.50;-3.5; -1.033; -0.289; -0.138; -0.297; -0.928; -0.159; -0.122; -0.230; -0.323
 32000;  5.00;-3.5; -1.022; -0.283; -0.139; -0.298; -0.930; -0.159; -0.122; -0.230; -0.324
 33000;  4.00;-3.5; -1.074; -0.293; -0.135; -0.293; -0.929; -0.158; -0.121; -0.230; -0.321
 33000;  4.50;-3.5; -1.052; -0.294; -0.139; -0.300; -0.940; -0.161; -0.123; -0.232; -0.325
 33000;  5.00;-3.5; -1.040; -0.289; -0.141; -0.303; -0.943; -0.162; -0.123; -0.233; -0.326
 34000;  4.00;-3.5; -1.089; -0.294; -0.134; -0.292; -0.931; -0.157; -0.121; -0.230; -0.321
 34000;  4.50;-3.5; -1.069; -0.298; -0.140; -0.303; -0.949; -0.162; -0.123; -0.234; -0.326
 34000;  5.00;-3.5; -1.058; -0.294; -0.143; -0.306; -0.954; -0.163; -0.124; -0.235; -0.328
 35000;  4.00;-3.5; -1.102; -0.295; -0.133; -0.289; -0.929; -0.156; -0.121; -0.230; -0.320
 35000;  4.50;-3.5; -1.084; -0.300; -0.141; -0.303; -0.953; -0.163; -0.124; -0.234; -0.327
 35000;  5.00;-3.5; -1.073; -0.298; -0.144; -0.308; -0.962; -0.165; -0.124; -0.236; -0.329
 37500;  4.50;-3.5; -1.111; -0.303; -0.139; -0.299; -0.950; -0.161; -0.122; -0.233; -0.325
 37500;  5.00;-3.5; -1.103; -0.304; -0.144; -0.308; -0.967; -0.165; -0.125; -0.237; -0.329
 40000;  4.50;-3.5; -1.127; -0.306; -0.137; -0.296; -0.945; -0.159; -0.121; -0.232; -0.323
 40000;  5.00;-3.5; -1.122; -0.308; -0.142; -0.305; -0.961; -0.163; -0.123; -0.235; -0.327
 42500;  5.00;-3.5; -1.133; -0.311; -0.142; -0.304; -0.962; -0.163; -0.123; -0.236; -0.329
 45000;  5.00;-3.5; -1.140; -0.315; -0.143; -0.306; -0.967; -0.164; -0.123; -0.237; -0.332
 47500;  5.00;-3.5; -1.147; -0.319; -0.144; -0.309; -0.975; -0.165; -0.124; -0.239; -0.335
 50000;  5.00;-3.5; -1.152; -0.322; -0.146; -0.313; -0.984; -0.167; -0.125; -0.241; -0.338
  2000;  3.50;-4.0;  7.443;  5.212;  1.970;  3.635;  2.083;  1.666;  0.020; -0.128;  2.729
  2000;  4.00;-4.0;  7.091;  5.118;  1.841;  3.342;  1.346;  1.501;  0.018; -0.156;  2.867
  2000;  4.50;-4.0;  6.701;  5.019;  1.722;  3.043;  0.600;  1.320;  0.026; -0.238;  3.007
  2000;  5.50;-4.0;  5.971;  4.832;  1.526;  2.459; -0.804;  0.933;  0.058; -0.533;  3.273
  2200;  3.50;-4.0;  6.594;  4.842;  1.719;  3.133;  1.789;  1.413; -0.182; -0.293;  2.014
  2200;  4.00;-4.0;  6.239;  4.748;  1.614;  2.896;  1.066;  1.282; -0.226; -0.377;  2.108
  2200;  4.50;-4.0;  5.868;  4.655;  1.519;  2.659;  0.415;  1.139; -0.229; -0.436;  2.234
  2200;  5.00;-4.0;  5.487;  4.563;  1.429;  2.411; -0.267;  0.981; -0.228; -0.544;  2.363
  2200;  5.50;-4.0;  5.123;  4.476;  1.345;  2.147; -0.987;  0.802; -0.217; -0.724;  2.492
  2500;  3.50;-4.0;  4.793;  3.989;  1.597;  2.879;  2.262;  1.282; -0.177; -0.388;  1.327
  2500;  4.00;-4.0;  4.460;  3.887;  1.503;  2.706;  1.625;  1.204; -0.274; -0.527;  1.348
  2500;  4.50;-4.0;  4.119;  3.787;  1.418;  2.534;  1.030;  1.117; -0.338; -0.616;  1.416
  2500;  5.00;-4.0;  3.784;  3.688;  1.339;  2.357;  0.417;  1.017; -0.375; -0.724;  1.510
  2500;  5.50;-4.0;  3.467;  3.593;  1.265;  2.165; -0.192;  0.900; -0.386; -0.831;  1.628
  2800;  3.50;-4.0;  2.099;  3.040;  1.471;  2.761;  2.947;  1.290; -0.041; -0.210;  1.107
  2800;  4.00;-4.0;  1.857;  2.932;  1.385;  2.624;  2.343;  1.239; -0.177; -0.435;  1.051
  2800;  4.50;-4.0;  2.560;  2.926;  1.359;  2.548;  1.898;  1.190; -0.278; -0.560;  1.048
  2800;  5.00;-4.0;  2.270;  2.813;  1.285;  2.417;  1.321;  1.132; -0.376; -0.713;  1.072
  3000;  3.50;-4.0;  1.498;  2.652;  1.266;  2.384;  2.916;  1.118;  0.066;  0.000;  1.031
  3000;  4.00;-4.0;  1.276;  2.549;  1.193;  2.264;  2.350;  1.071; -0.072; -0.246;  0.945
  3000;  4.50;-4.0;  1.059;  2.442;  1.129;  2.157;  1.809;  1.029; -0.201; -0.454;  0.896
  3000;  5.00;-4.0;  1.668;  2.428;  1.113;  2.096;  1.349;  0.983; -0.309; -0.623;  0.877
  3000;  5.50;-4.0;  1.428;  2.321;  1.053;  1.985;  0.812;  0.931; -0.401; -0.771;  0.903
  3200;  3.50;-4.0;  1.889;  2.409;  1.195;  2.178;  3.022;  0.983;  0.159;  0.218;  1.000
  3200;  4.00;-4.0;  1.659;  2.302;  1.126;  2.061;  2.515;  0.935;  0.038; -0.015;  0.901
  3200;  4.50;-4.0;  1.423;  2.192;  1.065;  1.960;  2.018;  0.894; -0.077; -0.233;  0.827
  3200;  5.00;-4.0;  0.442;  1.985;  0.971;  1.827;  1.418;  0.856; -0.212; -0.467;  0.774
  3500;  0.00;-4.0;  1.380;  2.147;  1.636;  3.376;  5.963;  1.740;  0.742;  1.094;  1.331
  3500;  0.50;-4.0;  1.237;  2.042;  1.538;  3.216;  5.689;  1.678;  0.712;  1.071;  1.320
  3500;  1.00;-4.0;  1.071;  1.898;  1.425;  3.036;  5.352;  1.610;  0.636;  1.013;  1.292
  3500;  1.50;-4.0;  0.960;  1.786;  1.339;  2.898;  5.099;  1.559;  0.570;  0.964;  1.271
  3500;  2.00;-4.0;  0.892;  1.712;  1.285;  2.811;  4.972;  1.526;  0.556;  0.954;  1.267
  3500;  2.50;-4.0;  0.866;  1.670;  1.254;  2.759;  4.908;  1.505;  0.560;  0.956;  1.269
  3500;  3.00;-4.0;  1.263;  1.817;  1.160;  2.251;  3.970;  1.091;  0.606;  0.850;  1.021
  3750;  0.00;-4.0;  1.354;  1.938;  1.320;  2.540;  4.636;  1.220;  0.688;  0.967;  1.145
  3750;  0.50;-4.0;  1.287;  1.861;  1.251;  2.422;  4.457;  1.171;  0.673;  0.959;  1.146
  3750;  1.00;-4.0;  1.169;  1.758;  1.180;  2.301;  4.278;  1.121;  0.655;  0.950;  1.148
  3750;  1.50;-4.0;  1.020;  1.641;  1.110;  2.186;  4.083;  1.076;  0.611;  0.921;  1.140
  3750;  2.00;-4.0;  0.879;  1.536;  1.055;  2.096;  3.903;  1.041;  0.547;  0.875;  1.126
  3750;  2.50;-4.0;  0.797;  1.469;  1.022;  2.041;  3.810;  1.019;  0.520;  0.857;  1.122
  3750;  3.00;-4.0;  1.023;  1.528;  0.928;  1.844;  3.495;  0.916;  0.541;  0.772;  0.955
  3750;  3.50;-4.0;  0.989;  1.510;  0.921;  1.828;  3.481;  0.907;  0.548;  0.776;  0.957
  4000;  0.00;-4.0;  1.136;  1.655;  1.019;  1.941;  3.758;  0.922;  0.641;  0.847;  0.984
  4000;  0.50;-4.0;  1.046;  1.575;  0.965;  1.850;  3.631;  0.885;  0.632;  0.845;  0.990
  4000;  1.00;-4.0;  0.947;  1.494;  0.917;  1.768;  3.515;  0.852;  0.619;  0.840;  0.994
  4000;  1.50;-4.0;  0.843;  1.417;  0.874;  1.697;  3.414;  0.823;  0.602;  0.832;  0.999
  4000;  2.00;-4.0;  0.711;  1.329;  0.833;  1.631;  3.313;  0.798;  0.578;  0.819;  1.000
  4000;  2.50;-4.0;  0.610;  1.267;  0.808;  1.590;  3.211;  0.782;  0.528;  0.786;  0.993
  4000;  3.00;-4.0;  0.711;  1.303;  0.780;  1.573;  2.963;  0.793;  0.468;  0.688;  0.880
  4000;  3.50;-4.0;  0.678;  1.282;  0.771;  1.558;  2.931;  0.787;  0.453;  0.678;  0.878
  4000;  4.00;-4.0;  0.661;  1.275;  0.767;  1.548;  2.919;  0.782;  0.451;  0.677;  0.878
  4000;  4.50;-4.0;  1.941;  2.322;  1.375;  2.501;  4.762;  1.126;  0.722;  1.036;  1.303
  4250;  0.00;-4.0;  0.895;  1.394;  0.840;  1.589;  3.154;  0.748;  0.592;  0.768;  0.882
  4250;  0.50;-4.0;  0.785;  1.317;  0.801;  1.523;  3.073;  0.723;  0.591;  0.771;  0.891
  4250;  1.00;-4.0;  0.676;  1.247;  0.767;  1.468;  3.001;  0.701;  0.585;  0.771;  0.898
  4250;  1.50;-4.0;  0.577;  1.188;  0.739;  1.424;  2.940;  0.684;  0.574;  0.768;  0.904
  4250;  2.00;-4.0;  0.493;  1.140;  0.717;  1.388;  2.890;  0.671;  0.559;  0.762;  0.908
  4250;  2.50;-4.0;  0.413;  1.094;  0.699;  1.361;  2.844;  0.661;  0.542;  0.754;  0.910
  4250;  3.00;-4.0;  0.417;  1.126;  0.634;  1.302;  2.715;  0.667;  0.460;  0.649;  0.829
  4250;  3.50;-4.0;  0.387;  1.114;  0.631;  1.296;  2.670;  0.665;  0.422;  0.624;  0.824
  4250;  4.00;-4.0;  0.370;  1.109;  0.630;  1.293;  2.643;  0.664;  0.400;  0.610;  0.821
  4250;  4.50;-4.0;  0.363;  1.108;  0.629;  1.291;  2.630;  0.662;  0.390;  0.603;  0.820
  4250;  5.00;-4.0;  0.466;  1.183;  0.655;  1.330;  2.701;  0.675;  0.367;  0.605;  0.852
  4500;  0.00;-4.0;  0.718;  1.227;  0.652;  1.283;  2.753;  0.632;  0.515;  0.646;  0.768
  4500;  0.50;-4.0;  0.606;  1.162;  0.624;  1.239;  2.708;  0.615;  0.520;  0.653;  0.779
  4500;  1.00;-4.0;  0.501;  1.106;  0.602;  1.204;  2.669;  0.602;  0.520;  0.657;  0.787
  4500;  1.50;-4.0;  0.411;  1.063;  0.586;  1.178;  2.636;  0.593;  0.515;  0.657;  0.794
  4500;  2.00;-4.0;  0.338;  1.029;  0.573;  1.158;  2.608;  0.586;  0.506;  0.655;  0.800
  4500;  2.50;-4.0;  0.282;  1.007;  0.564;  1.145;  2.585;  0.581;  0.494;  0.650;  0.803
  4500;  3.00;-4.0;  0.239;  0.987;  0.557;  1.135;  2.565;  0.578;  0.480;  0.644;  0.805
  4500;  3.50;-4.0;  0.220;  0.984;  0.557;  1.135;  2.540;  0.578;  0.456;  0.630;  0.804
  4500;  4.00;-4.0;  0.216;  0.988;  0.560;  1.139;  2.511;  0.579;  0.426;  0.610;  0.801
  4500;  4.50;-4.0;  0.218;  0.995;  0.563;  1.143;  2.489;  0.580;  0.401;  0.594;  0.798
  4500;  5.00;-4.0;  0.226;  1.004;  0.565;  1.146;  2.472;  0.581;  0.384;  0.583;  0.795
  4750;  0.00;-4.0;  0.515;  1.010;  0.534;  1.054;  2.411;  0.520;  0.481;  0.599;  0.707
  4750;  0.50;-4.0;  0.409;  0.958;  0.516;  1.026;  2.392;  0.510;  0.491;  0.610;  0.718
  4750;  1.00;-4.0;  0.314;  0.917;  0.503;  1.006;  2.375;  0.503;  0.496;  0.616;  0.727
  4750;  1.50;-4.0;  0.233;  0.886;  0.493;  0.992;  2.361;  0.499;  0.495;  0.619;  0.734
  4750;  2.00;-4.0;  0.170;  0.864;  0.487;  0.982;  2.349;  0.495;  0.491;  0.619;  0.741
  4750;  2.50;-4.0;  0.123;  0.850;  0.482;  0.976;  2.338;  0.493;  0.484;  0.618;  0.745
  4750;  3.00;-4.0;  0.092;  0.842;  0.480;  0.972;  2.329;  0.492;  0.474;  0.614;  0.748
  4750;  3.50;-4.0;  0.076;  0.840;  0.480;  0.972;  2.317;  0.493;  0.461;  0.608;  0.748
  4750;  4.00;-4.0;  0.070;  0.843;  0.481;  0.975;  2.304;  0.494;  0.444;  0.598;  0.748
  4750;  4.50;-4.0;  0.077;  0.853;  0.485;  0.982;  2.285;  0.496;  0.421;  0.584;  0.746
  4750;  5.00;-4.0;  0.086;  0.863;  0.490;  0.988;  2.268;  0.499;  0.400;  0.570;  0.744
  5000;  0.00;-4.0;  0.315;  0.816;  0.465;  0.929;  2.120;  0.464;  0.440;  0.544;  0.643
  5000;  0.50;-4.0;  0.221;  0.779;  0.454;  0.913;  2.120;  0.459;  0.455;  0.558;  0.654
  5000;  1.00;-4.0;  0.134;  0.750;  0.446;  0.902;  2.120;  0.456;  0.464;  0.568;  0.664
  5000;  1.50;-4.0;  0.062;  0.731;  0.442;  0.897;  2.118;  0.456;  0.466;  0.571;  0.671
  5000;  2.00;-4.0;  0.004;  0.718;  0.439;  0.895;  2.117;  0.455;  0.465;  0.574;  0.677
  5000;  2.50;-4.0; -0.040;  0.711;  0.438;  0.894;  2.115;  0.455;  0.463;  0.575;  0.682
  5000;  3.00;-4.0; -0.069;  0.708;  0.438;  0.894;  2.112;  0.456;  0.457;  0.574;  0.686
  5000;  3.50;-4.0; -0.088;  0.708;  0.438;  0.894;  2.108;  0.456;  0.450;  0.571;  0.688
  5000;  4.00;-4.0; -0.093;  0.713;  0.440;  0.897;  2.100;  0.457;  0.438;  0.565;  0.688
  5000;  4.50;-4.0; -0.088;  0.722;  0.443;  0.903;  2.088;  0.460;  0.422;  0.556;  0.688
  5000;  5.00;-4.0; -0.082;  0.731;  0.446;  0.908;  2.077;  0.462;  0.407;  0.547;  0.687
  5250;  0.00;-4.0;  0.182;  0.659;  0.417;  0.845;  1.923;  0.428;  0.411;  0.505;  0.602
  5250;  0.50;-4.0;  0.101;  0.634;  0.412;  0.839;  1.938;  0.428;  0.428;  0.521;  0.612
  5250;  1.00;-4.0;  0.023;  0.618;  0.409;  0.837;  1.948;  0.427;  0.439;  0.531;  0.620
  5250;  1.50;-4.0; -0.045;  0.608;  0.408;  0.836;  1.957;  0.428;  0.446;  0.539;  0.628
  5250;  2.00;-4.0; -0.101;  0.602;  0.408;  0.837;  1.964;  0.430;  0.449;  0.544;  0.635
